sites_lower,n
"hyde park, ut",1
"hyder (city/community), southeast, alaska",1
"ibex river, yukon - canada, alaska",1
"idaho falls, id",1
"idaho springs, co",1
"iditarod river, yukon, alaska",1
"idlughet, common name eklutna, cook inlet, alaska",1
"igiugig (city/community), bristol bay, alaska",1
"igiugig village, igiugig, bristol bay, alaska",1
"igloo creek, alaska",1
"igushik river, bristol bay north, ak",1
"igushik river, bristol bay north, alaska",1
"igya’aq, common name eyak, copper river, alaska",1
"igyagiiq, common name egegik, bristol bay, alaska",1
"igyaraq, common name chignik lake, chignik, alaska",1
"igyaraq, common name igiugig, bristol bay, alaska",1
"iik, common name eek, kuskokwim, alaska",1
"iilgayaq, common name nushagak river, bristol bay, alaska",1
"ikalukrok creek, kotzebue, alaska",1
ikpikpuk r bl fry c nr alaktak ak,1
"iliamna (city/community), bristol bay, alaska",1
iliamna r nr pedro bay ak,1
"iliamna river, alaska",1
"ilion, ny",1
"illinois creek, yukon, alaska",1
"ilnik river, ak peninsula, alaska",1
"iluuluxˆ, common name unalaska, alaska peninsula and aleutian islands, alaska",1
"imangaq, common name emmonak, yukon, alaska",1
"immuruk basin, norton sound/port clarence, alaska",1
"inaru river, northern area, alaska",1
"independence, mo",1
"independence, or",1
"index, wa",1
"indian creek (indian river), kuskokwim, alaska",1
"indian creek, prince william sound, alaska",1
indian r at sitka ak,1
"indian river, southeast, alaska",1
"indian river, yukon, alaska",1
"indian valley, id",1
"indianola, wa",1
"ingersoll islands, yukon - canada, alaska",1
"ingirraller, deloy chet, common name holy cross, yukon, alaska",1
"inglewood, ca",1
"inglis, fl",1
"inglutalik river, norton sound/port clarence, alaska",1
"ingricuar, common name twin hills, bristol bay, alaska",1
"ingrihak (village/city), yukon, alaska",1
"inigok creek, northern area, alaska",1
"inmachuk river, kotzebue, alaska",1
"innoko river, yukon, alaska",1
"inupiat community of the arctic slope, barrow, arctic, alaska",1
"inverness, fl",1
"iŋaliq, common name little diomede, kotzebue, alaska",1
"ione, wa",1
"ipnatchiaq, common name deering, kotzebue, alaska",1
"iquaq, common name ekwok, bristol bay, alaska",1
"iqugmiut, common name russian mission, yukon, alaska",1
"iqurmuit traditional council (formerly the native village of russian mission), russian mission, yukon, alaska",1
"irvine, ca",1
"isanaxˆ, common name false pass, alaska peninsula and aleutian islands, alaska",1
"isiŋnaq, nuurviuraq, common name shungnak, kotzebue, alaska",1
"itkillik river, northern area, alaska",1
"ivanof bay (city/community), chignik, alaska",1
"ivanoff bay village, ivanof bay, chignik, alaska",1
"ivins, ut",1
"ivisaappaat, common name ambler, kotzebue, alaska",1
"ivisaruk river, northern area, alaska",1
"ivishak river, northern area, alaska",1
"jack creek, alaska",1
"jacksmith creek, kuskokwim, alaska",1
"jackson, wy",1
"jacksonville, al",1
"jacksonville, fl",1
"jacksonville, or",1
"jago river, northern area, alaska",1
"jamestown, nd",1
"jamul, ca",1
"jarvis creek, yukon, alaska",1
"jasper, mn",1
"jasper, or",1
"jay em, wy",1
"jefferson, or",1
"jennings river, yukon - canada, alaska",1
"jewell, or",1
"jewoak creek, kuskokwim, alaska",1
"jiiz cheeg, common name goodpaster, yukon, alaska",1
"jim creek, cook inlet, alaska",1
"jim river, yukon, alaska",1
"joes, co",1
"john day, or",1
"john river, yukon, alaska",1
"johnson city, tn",1
"johnson city, tx",1
"johnson cove creek, southeast, alaska",1
"johnson river, kuskokwim, alaska",1
"johnson river, yukon, alaska",1
"joint base elmendorf richardson, cook inlet, alaska",1
"joliet, mt",1
"jonah creek, prince william sound, alaska",1
"jones river, kuskokwim, alaska",1
"jonesborough, tn",1
"joplin, mo",1
"jordan creek, alaska",1
"jordan creek, southeast, alaska",1
"jordan, ar",1
"joseph, or",1
"joyce, wa",1
"judd lake, upper cook inlet, alaska",1
"judy creek, northern area, alaska",1
"julius creek, yukon, alaska",1
"junction city, or",1
"june creek, yukon, alaska",1
"juneau (city/community), southeast, alaska",1
"juneau, wi",1
"jupiter, fl",1
"k'qizaghetnu, common name stony river, kuskokwim, alaska",1
"k'udeis' x̱'e, common name pelican, southeast, alaska",1
"k’dalkitnu, common name talkeetna, cook inlet, alaska",1
"k’ehtthiign, common name northway, yukon, alaska",1
"kachauvik river tower, norton sound/port clarence, alaska",1
"kachauvik river, norton sound/port clarence, alaska",1
"kadashan creek east, southeast, alaska",1
"kadashan creek lower, southeast, alaska",1
"kadashan creek west, southeast, alaska",1
"kadashan creek, southeast, alaska",1
"kadashan river, alaska",1
"kaflia lake, kodiak, alaska",1
"kagati lake, kuskokwim, alaska",1
"kaguyak village, kaguyak, kodiak, alaska",1
"kahniruk river, kuskokwim, alaska",1
"kahtaheena river, alaska",1
"kahului, hi",1
"kake (city/community), southeast, alaska",1
"kako creek, yukon, alaska",1
"kaktovik village (aka barter island), kaktovik, arctic, alaska",1
"kakuhan creek, alaska",1
"kakwan creek, southeast, alaska",1
"kal’ut, common name karluk, kodiak, alaska",1
"kala creek, yukon, alaska",1
"kalamazoo, mi",1
"kali, common name point lay, arctic, alaska",1
"kaliakh river, southeast, alaska",1
"kaligurick river, kotzebue, alaska",1
"kalinin bay tr, alaska",1
"kallarichuk river, kotzebue, alaska",1
"kalskag (village/city), kuskokwim, alaska",1
"kalskag fishwheel, kuskokwim, alaska",1
"kaltag (city/community), yukon, alaska",1
"kaltag (stink creek), yukon, alaska",1
"kaltag (village/city), yukon, alaska",1
"kanalku creek, alaska",1
"kandik river, yukon, alaska",1
"kangirnaq, common name kongiganak, kuskokwim, alaska",1
"kantishna fish wheel (lower left bank), yukon, alaska",1
"kantishna fish wheel (upper left bank), yukon, alaska",1
"kantishna fish wheel (upper right bank), yukon, alaska",1
"kantishna river mark/recapture, yukon, alaska",1
"kantishna river, yukon, alaska",1
"kanuktik creek, kuskokwim, alaska",1
"kanuktik lake, kuskokwim, alaska",1
"kanuti kilolitna river, alaska",1
"kanuti river tributary, alaska",1
"kanuti river, alaska",1
"kanuti river, yukon, alaska",1
"kaŋiq, common name buckland, kotzebue, alaska",1
"kaolak river, northern area, alaska",1
"kapolei, hi",1
"karluk (city/community), kodiak, alaska",1
"karluk lake, alaska",1
"karluk river, alaska",1
"kasaan (city/community), southeast, alaska",1
"kashegelok (village/city), kuskokwim, alaska",1
kashwitna r nr willow ak,1
"kashwitna river, alaska",1
"kasigluk (city/community), kuskokwim, alaska",1
"kasigluk river, kuskokwim, alaska",1
"kasigluk sonar, kuskokwim, alaska",1
"kasigluk traditional elders council (formerly the native village of kasigluk), kasigluk, kuskokwim, alaska",1
"kasilof (city/community), cook inlet, alaska",1
"kasilof river, upper cook inlet, ak",1
"kasilof river, upper cook inlet, alaska",1
"kassigluq, common name kasigluk, kuskokwim, alaska",1
"kasukuak, common name akhiok, kodiak, alaska",1
"kateel river, yukon, alaska",1
"katlian river, southeast, alaska",1
"katy, tx",1
"katyaaq, common name kiana, kotzebue, alaska",1
"kauk river, kotzebue, alaska",1
"kaukauna, wi",1
"kavik river, northern area, alaska",1
"kdk_aforv01, alaska",1
"kdk_busrv01, alaska",1
"kealakekua, hi",1
"kearney, ne",1
"ḵéex̱’, common name kake, southeast, alaska",1
"kellogg, id",1
"kelly creek (kala c), yukon, alaska",1
"kelly lake, kotzebue, alaska",1
"kelly river, kotzebue, alaska",1
"kelsall river, southeast, alaska",1
"kelseyville, ca",1
"kelt’aaddh menn’, common name dot lake, yukon, alaska",1
"kenai (city/community), cook inlet, alaska",1
kenai r at cooper landing ak,1
kenai r at soldotna ak,1
kenai r bl skilak lk outlet nr sterling ak,1
"kenai river, alaska",1
"kenai river, upper cook inlet, ak",1
"kenai river, upper cook inlet, alaska",1
"kenaitze indian tribe, kenai, cook inlet, alaska",1
"kendrick, id",1
"kenedy, tx",1
"kennan, wi",1
"kennewick, wa",1
"kennicott, copper river, alaska",1
"kenny lake (city/community), copper river, alaska",1
"kenny lake, ak",1
"kensington, ca",1
"kentfield, ca",1
"kentsii cae'e, common name lower tonsina, copper river, alaska",1
"kerrville, tx",1
"keta creek, prince william sound, alaska",1
"keta river, alaska",1
"ketchikan (city/community), southeast, alaska",1
"ketchikan creek, southeast, alaska",1
"ketchikan indian corporation, ketchikan, southeast, alaska",1
"ketik river, northern area, alaska",1
"kettle falls, wa",1
"kevinjik creek, yukon, alaska",1
"key colony beach, fl",1
"key largo, fl",1
"key west, fl",1
"keyes, ok",1
"keyport, wa",1
"kgun lake, kuskokwim, alaska",1
"kialik river, kuskokwim, alaska",1
"kiana (city/community), kotzebue, alaska",1
"kiana (village/city), kotzebue, alaska",1
"kiana creek, yukon, alaska",1
"kichx̱áan, common name ketchikan, southeast, alaska",1
"kila, mt",1
"killeen, tx",1
"killik river, northern area, alaska",1
"kimbolton, oh",1
"kinak river, kuskokwim, alaska",1
"kinegnak river, kuskokwim, alaska",1
"king cove (city/community), alaska peninsula and aleutian islands, alaska",1
"king creek, prince william sound, alaska",1
"king creek, southeast, alaska",1
"king island native community, king island, norton sound, alaska",1
"king metolik, norton sound/port clarence, alaska",1
"king salmon (city/community), bristol bay, alaska",1
"king salmon creek, southeast, alaska",1
"king salmon tribe, king salmon, bristol bay, alaska",1
"kingman, az",1
"kingman, ks",1
"kings beach, ca",1
"kingsburg, ca",1
"kiŋikti, common name wales, kotzebue, alaska",1
"kipchuk river, kuskokwim, alaska",1
"kipnuk (city/community), kuskokwim, alaska",1
"kirkland, az",1
"kirkwood, mo",1
"kisaralik lake, kuskokwim, alaska",1
"kitlik river, kotzebue, alaska",1
"kitoi hatchery, kodiak, alaska",1
"kittitas, wa",1
"kivalina (city/community), kotzebue, alaska",1
"kivalina river, kotzebue, alaska",1
"kivaliñiq, common name kivalina, kotzebue, alaska",1
"kiwaluk river, kotzebue, alaska",1
"kk’odlel t’odegheelenh denh, common name bettles, yukon, alaska",1
"klag lake outflow, alaska",1
"klamath, ca",1
"klawock (city/community), southeast, alaska",1
"klawock cooperative association, klawock, southeast, alaska",1
"klehini river, southeast, alaska",1
"klikhtentotzna, yukon, alaska",1
"klondike river, yukon - canada, alaska",1
"kluane river, yukon - canada, alaska",1
"klukshu (alsek) river, southeast, alaska",1
"klukwan (city/community), southeast, alaska",1
"klukwan, ak",1
"knicaraq, common name upper johnson river, kuskokwim, alaska",1
"knik (city/community), cook inlet, alaska",1
"knik tribe, knik, cook inlet, alaska",1
"knik, ak",1
"knoxville, ia",1
"kobuk (city/community), kotzebue, alaska",1
kobuk r nr kiana ak,1
"kobuk river (below squirrel river), kotzebue, alaska",1
"kobuk river (tutuksuk river to ambler river), kotzebue, alaska",1
"kobuk river test fishing, kotzebue, alaska",1
"kobuk river, kotzebue, alaska",1
"kobuk, ak",1
"kodiak (city/community), kodiak, alaska",1
"kodiak city, kodiak, alaska",1
"kogok river, norton sound/port clarence, alaska",1
"koidern river, yukon - canada, alaska",1
"kokhanok (city/community), bristol bay, alaska",1
"kokhanok village, kokhanok, bristol bay, alaska",1
"kokolik river, northern area, alaska",1
"kokrines str, yukon, alaska",1
"koktuli river, alaska",1
"koliganek (city/community), bristol bay, alaska",1
"kolmakof  river, kuskokwim, alaska",1
"kongakut river, northern area, alaska",1
"kongiganak (city/community), kuskokwim, alaska",1
"kooskia, id",1
"kootenai, id",1
"koppen creek, prince william sound, alaska",1
"kotlik (city/community), yukon, alaska",1
"kotlik (village/city), yukon, alaska",1
"kotzebue (city/community), kotzebue, alaska",1
"kotzebue (village/city), kotzebue, alaska",1
"kotzebue sound, kotzebue, alaska",1
"kougarok river, norton sound/port clarence, alaska",1
"koyuk (city/community), norton sound, alaska",1
"koyuk river (east fork), norton sound/port clarence, alaska",1
"koyuk river, norton sound/port clarence, alaska",1
"koyukuk (city/community), yukon, alaska",1
"koyukuk (village/city), yukon, alaska",1
"koyukuk native village, koyukuk, yukon, alaska",1
"koyukuk river (middle fork), yukon, alaska",1
"koyukuk river (north fork), yukon, alaska",1
"koyukuk river (south fork), yukon, alaska",1
"koyukuk river, alaska",1
"koyukuk river, yukon, alaska",1
"kozherevsky river, yukon - canada, alaska",1
"kugrua river , northern area, alaska",1
"kugruk lagoon, kotzebue, alaska",1
"kugruk river, kotzebue, alaska",1
"kugururok river, kotzebue, alaska",1
"kuiggayagaq, common name oscarville, kuskokwim, alaska",1
"kuiggluk, common name kwethluk, kuskokwim, alaska",1
"kuigilnguq, common name kwigillingok, kuskokwim, alaska",1
"kuigpak, common name yukon river, yukon, alaska",1
"kuinerraq, common name quinhagak, kuskokwim, alaska",1
"kukaktlim lakes, kuskokwim, alaska",1
"kukpowruk river, northern area, alaska",1
"kukpuk river, northern area, alaska",1
"kuna, id",1
"kunk creek, southeast, alaska",1
"kuparuk river, alaska",1
"kuparuk river, northern area, alaska",1
"kushneahin creek, southeast, alaska",1
"kushtaka lake, copper river, alaska",1
"kuskokwim bay, kuskokwim, alaska",1
kuskokwim r at crooked creek ak,1
kuskokwim r at liskys crossing nr stony river ak,1
"kuskokwim river (east fork), kuskokwim, alaska",1
"kuskokwim river (north fork), kuskokwim, alaska",1
"kuskokwim river (south fork), kuskokwim, alaska",1
"kuskokwim river basin, kuskokwim, alaska",1
"kuskokwim river mark/recapture site, kuskokwim, alaska",1
"kuskokwim river mouth, kuskokwim, alaska",1
"kuskokwim river radio telemetry, kuskokwim, alaska",1
"kuskokwim river sonar, kuskokwim, alaska",1
"kuskokwim river, alaska, usa",1
"kusquqvak, common name kuskokwim river, kuskokwim, alaska",1
"kuthai lake, southeast, alaska",1
"kuukpik, common name colville river, arctic, alaska",1
"kuuvak, common name kobuk river, kotzebue, alaska",1
"kuuyuk, common name koyuk, norton sound, alaska",1
"kuzitrin river, norton sound/port clarence, alaska",1
"kvichak river, bristol bay south, ak",1
"kvichak river, bristol bay south, alaska",1
"kwethluk (city/community), kuskokwim, alaska",1
"kwethluk (village/city) , kuskokwim, alaska",1
"kwethluk river, alaska",1
"kwigillingok (city/community), kuskokwim, alaska",1
"kwigillingok village, kuskokwim, alaska",1
"kwik river, norton sound/port clarence, alaska",1
"kwiniuk river tower, norton sound/port clarence, alaska",1
"kwiniuk river, norton sound/port clarence, alaska",1
l chena r nr fairbanks ak,1
l susitna r nr palmer ak,1
l willow c nr kashwitna ak,1
"la center, wa",1
"la crosse, wi",1
"la jolla, ca",1
"la marque, tx",1
"la mesa, ca",1
"la porte, tx",1
"la quinta, ca",1
"la verne, ca",1
"lace river, southeast, alaska",1
"lacey, wa",1
"ladue river, yukon - canada, alaska",1
"lafayette, ca",1
"lafayette, in",1
"lafayette, la",1
"laforce lake outlet, yukon - canada, alaska",1
"lagoon creek, prince william sound, alaska",1
"laguna beach, ca",1
"laguna hills, ca",1
"laguna niguel, ca",1
"laguna, ca",1
"lahaina, hi",1
"łąįį tree zhee, common name canyon village, yukon, alaska",1
"lake above kanuktik lake, kuskokwim, alaska",1
"lake anna head, southeast, alaska",1
"lake bay, wa",1
"lake charles, la",1
"lake clear, ny",1
"lake creek - 111, southeast, alaska",1
"lake creek, southeast, alaska",1
"lake elsinore, ca",1
"lake eva, southeast, alaska",1
"lake havasu city, az",1
"lake laberge, yukon - canada, alaska",1
"lake oswego, or",1
"lake park, mn",1
"lake stream, southeast, alaska",1
"lakeland, fl",1
"lakeport, ca",1
"lakeside, ca",1
"lakeside, mt",1
"lakewood, co",1
"lakina river, alaska",1
"lankin, nd",1
"lansing river, yukon - canada, alaska",1
"lansing, mi",1
"lapie river, yukon - canada, alaska",1
"larchmont, ny",1
"laredo, tx",1
"larkspur, ca",1
"larkspur, co",1
"larsen bay (city/community), kodiak, alaska",1
"larson creek, cook inlet, alaska",1
"larson lake, upper cook inlet, alaska",1
"late karluk river, kodiak, ak",1
"late shuswap river, canada",1
"late stuart river, canada",1
"late upper station river, kodiak, ak",1
"laton, ca",1
"laugviik, common name kobuk, kotzebue, alaska",1
"lawaak, common name klawock, southeast, alaska",1
"lawndale, ca",1
"lawrence, ks",1
"leadville, co",1
"leask creek, southeast, alaska",1
"lebanon, or",1
"lecanto, fl",1
"leduc river, southeast, alaska",1
"lehi, ut",1
"lemmon, sd",1
"lemont, pa",1
"lenore, id",1
"leo's creek, alaska",1
"levelock (city/community), bristol bay, alaska",1
"levelock village, levelock, bristol bay, alaska",1
"leverett, ma",1
"levshakoff creek, prince william sound, alaska",1
"lewis lake outlet, yukon - canada, alaska",1
"lewiston, mi",1
"lewisville, tx",1
"libby, mt",1
"liberal, mo",1
"lignite creek, yukon, alaska",1
"lignite spring, yukon, alaska",1
"liivlek, common name levelock, bristol bay, alaska",1
"lilliwaup, wa",1
"lime village, lime village, kuskokwim, alaska",1
"limestone creek, southeast, alaska",1
"lincoln, mt",1
"lincoln, ne",1
"lindale, tx",1
"litchfield, mn",1
"litnik, kodiak, alaska",1
"little black river, yukon, alaska",1
"little chena river, yukon, alaska",1
"little delta river, yukon, alaska",1
"little gerstle river, yukon, alaska",1
"little jack creek, alaska",1
"little kalzas river, yukon - canada, alaska",1
"little lake, mi",1
"little salcha river, yukon, alaska",1
"little salmon lake, yukon - canada, alaska",1
"little salmon river, southeast, alaska",1
"little salmon river, yukon - canada, alaska",1
"little salt river, yukon, alaska",1
"little stony creek, alaska",1
"little susitna river, alaska",1
"little susitna river, cook inlet, alaska",1
"little talhtan river, southeast, alaska",1
"little tonzona river, kuskokwim, alaska",1
"little trapper lake, southeast, alaska",1
"little underhill creek, kuskokwim, alaska",1
"little waterfall creek, kodiak, alaska",1
"little waterfall, kodiak, alaska",1
"little willow creek, alaska",1
"littleton, co",1
"live oak, ca",1
"livermore, ca",1
"livingston, mt",1
"livingston, tx",1
"livonia, mi",1
"lockwood creek, yukon, alaska",1
"lodi, ca",1
"lodi, ny",1
"logan, ut",1
"logsden, or",1
"loma linda, ca",1
"lomita, ca",1
"long beach, ca",1
"long prairie, mn",1
"longboat key, fl",1
"longmont, co",1
"longview, tx",1
"longwood, fl",1
"loomis, ca",1
"loomis, wa",1
"loretto, mn",1
"loring (city/community), southeast, alaska",1
"loring, ak",1
"los altos, ca",1
"los gatos, ca",1
"los molinos, ca",1
"los osos, ca",1
"lost slough, yukon, alaska",1
"louisville, co",1
"louisville, ky",1
"lovell, wy",1
lowe r ab horsetail falls nr valdez ak,1
"lowell, ma",1
"lowell, or",1
"lower cook inlet, alaska",1
"lower kalskag (city/community), kuskokwim, alaska",1
"lower lake, ca",1
"lower tonsina, copper river, alaska",1
"łoyh denlekk’es denh, common name kokrines, yukon, alaska",1
"lubbock, tx",1
"lucerne, ca",1
"luck creek, southeast, alaska",1
"lucky jake creek, southeast, alaska",1
"lyle, wa",1
"lyman, wa",1
"lynchburg, va",1
"lyons, or",1
"lʼúx, common name mt. edgecumbe, southeast, alaska",1
"m'clintock river, yukon - canada, alaska",1
"machias, me",1
"macintyre creek, yukon - canada, alaska",1
"macmillan river (north fork), yukon - canada, alaska",1
"macmillan river (south fork), yukon - canada, alaska",1
"macmillan river, yukon - canada, alaska",1
"madera, ca",1
"madison, sd",1
"madison, wi",1
"magnolia springs, al",1
"magnolia, tx",1
"magundy river, yukon - canada, alaska",1
"mahoney lake creek, southeast, alaska",1
"mainstem yukon river (canada), yukon, alaska",1
"makawao, hi",1
"makinen, mn",1
"malabar, fl",1
"malaga, wa",1
"malamute fork, yukon, alaska",1
"malibu, ca",1
"malina creek, kodiak, alaska",1
"malone, wa",1
"mammoth lakes, ca",1
"mamterat, common name goodnews bay, kotzebue, alaska",1
"mamterilleq, common name bethel, kuskokwim, alaska",1
"manchester, ca",1
"manchester, wa",1
"mandeville, la",1
"manhattan beach, ca",1
"manhattan, ks",1
"manistee, mi",1
"manitowoc, wi",1
"mankato, mn",1
"manley (village/city), yukon, alaska",1
"manley hot springs (city/community), yukon, alaska",1
"manley hot springs village, manley hot springs, yukon, alaska",1
"manokotak (city/community), bristol bay, alaska",1
"manokotak village, manokotak, bristol bay, alaska",1
"manson, wa",1
"manteca, ca",1
"manuquutaq, common name manokotak, bristol bay, alaska",1
"manville slough, southeast, alaska",1
"maple grove, mn",1
"mapleton, or",1
"maplewood, mn",1
"marana, az",1
"marathon, fl",1
"marayaarmiut, common name scammon bay, yukon, alaska",1
"marblemount, wa",1
"marcola, or",1
marguerite c 3.6 mi ab emma c nr healy ak,1
marguerite c ab emma c nr healy ak,1
"marion, mt",1
"marion, or",1
"mariposa, ca",1
"marquette, mi",1
"marryat inlet, northern area, alaska",1
"mars, pa",1
"marsh lake, yukon - canada, alaska",1
"marshall (city/community), yukon, alaska",1
"marshall (village/city), yukon, alaska",1
"martin river slough, copper river, alaska",1
"marx creek, southeast, alaska",1
"maryville, mo",1
"maryville, tn",1
"masiqsirraq, common name port lions, kodiak, alaska",1
"mason, mi",1
"masrriq, common name port heiden, alaska peninsula and aleutian islands, alaska",1
"masserculleq, common name marshall, alaska peninsula and aleutian islands, alaska",1
matanuska r at palmer ak,1
"matlock, wa",1
"mattawa, wa",1
"maunelluk river, kotzebue, alaska",1
"may creek, copper river, alaska",1
"maybeso creek, alaska",1
"mayetta, ks",1
"mayo river, yukon - canada, alaska",1
"maypearl, tx",1
"mazama, wa",1
"mcconnell river, yukon - canada, alaska",1
"mcdonald creek (tributary anvik river), yukon, alaska",1
"mcdonald creek (tributary salchaket slough), yukon, alaska",1
"mcdonald lake, southeast, alaska",1
"mcdonald river, southeast, alaska",1
"mcgilvery creek, southeast, alaska",1
"mcgrath (city/community), kuskokwim, alaska",1
"mcgrath (village/city), kuskokwim, alaska",1
"mcgrath native village, mcgrath, kuskokwim, alaska",1
"mckinley lake, copper river, alaska",1
"mckinley river, yukon, alaska",1
"mclees lake, ak peninsula, alaska",1
"mclees, alaska peninsula and aleutian islands, alaska",1
"mcmanus creek, yukon, alaska",1
"mcnaughton creek, yukon - canada, alaska",1
"mcneil river, lower cook inlet, alaska",1
"mcneil river, yukon - canada, alaska",1
"mcquesten river, yukon - canada, alaska",1
"meacham creek, prince william sound, alaska",1
"mead, wa",1
meade r at atkasuk ak,1
"meade river, alaska",1
"meadow creek, alaska",1
"meadow lake, cook inlet, alaska",1
"meadow vista, ca",1
"meadview, az",1
"medical lake, wa",1
"medina, wa",1
"mekoryuk (city/community), kuskokwim, alaska",1
"melba, id",1
"melbourne, fl",1
"melozi hot springs creek, yukon, alaska",1
"memphis, tn",1
"menchuh mene’, common name lake minchumina, yukon, alaska",1
"mendaesde, common name mentasta, copper river, alaska",1
"mendees cheeg, common name healy lake, yukon, alaska",1
mendenhall r nr auke bay ak,1
"mendocino, ca",1
"meneelghaadze’ t’oh, common name koyukuk, yukon, alaska",1
"menhti xwghotthit, common name old minto, yukon, alaska",1
"menlo, wa",1
"menominee, mi",1
"mentasta pass, yukon, alaska",1
"mentasta traditional council, mentasta lake, copper river, alaska",1
"merced, ca",1
"mercerville, nj",1
"merlin, or",1
"merritt island, fl",1
"meshik river, ak peninsula, alaska",1
"metaline falls, wa",1
"metaline, wa",1
"metlakatla (city/community), southeast, alaska",1
"metlakatla indian community, annette island reserve, metlakatla, southeast, alaska",1
"mettenberg creek, yukon, alaska",1
"meyers chuck (city/community), southeast, alaska",1
"meyers lake, copper river, alaska",1
mf bradley r bl nf bradley r nr homer ak,1
mf bradley r nr homer ak,1
"miami, fl",1
"miami, ok",1
"mica, wa",1
"michie creek, yukon - canada, alaska",1
"middle basin creek, alaska",1
"middle creek, southeast, alaska",1
"middle mouth, yukon, alaska",1
"middleton, id",1
"middleton, wi",1
"middletown, ca",1
"midvale, id",1
"midway, ut",1
"midwest city, ok",1
"mieziadin, nass river watershed, bc",1
"mikfik creek, cook inlet, alaska",1
"mikigealiak river, northern area, alaska",1
"mikuryar, common name mekoryuk, kuskokwim, alaska",1
"milan, mi",1
"miles lake, copper river, alaska",1
"miles lake, prince william sound, alaska",1
"mill creek, prince william sound, alaska",1
"mill valley, ca",1
"millbrae, ca",1
"miller lake creek, southeast, alaska",1
"miller, mo",1
"milo, me",1
"milroy, mn",1
"milton, fl",1
"milwaukee, wi",1
"minden, nv",1
"miner river, yukon - canada, alaska",1
"minnetonka, mn",1
"minook creek, yukon, alaska",1
"minot, nd",1
"mint river, kotzebue, alaska",1
"minto (city/community), yukon, alaska",1
"minto (village/city), yukon, alaska",1
"minturn, co",1
"mission creek, yukon, alaska",1
"mission viejo, ca",1
"missouri city, tx",1
"mist, or",1
"mitchie creek, yukon - canada, alaska",1
"moab, ut",1
"mobile, al",1
"mocksville, nc",1
"moclips, wa",1
"moiese, mt",1
"monitor, wa",1
"monkton, md",1
"monmouth, or",1
"montague, ca",1
montana c nr montana ak,1
"montana city, mt",1
"montana creek, alaska",1
"montara, ca",1
"monte rio, ca",1
"monte vista, co",1
"montello, wi",1
"montgomery, mi",1
"montrose, co",1
"monument, co",1
"monument, or",1
"moore cr., kuskokwim, alaska",1
"mooresville, nc",1
moose c nr palmer ak,1
"moose creek (big salmon r), yukon - canada, alaska",1
"moose creek (tributary bearpaw river), yukon, alaska",1
"moose creek (tributary nenana river), yukon, alaska",1
"moose creek (windy c), yukon, alaska",1
"moose pass (city/community), cook inlet, alaska",1
"moose river, yukon - canada, alaska",1
"morelock creek, yukon, alaska",1
"morley river, yukon - canada, alaska",1
"morongo valley, ca",1
"morrill, ne",1
"morro bay, ca",1
"mortensens lagoon, ak peninsula, alaska",1
"moscow, id",1
"moses lake, wa",1
"moses point (east), norton sound/port clarence, alaska",1
"moses point (village/city), norton sound/port clarence, alaska",1
"moses point (west), norton sound/port clarence, alaska",1
"mosier, or",1
mosquito fork 2 mi bl kechumstuk c nr chicken ak,1
"mosquito fork fortymile river, alaska",1
"moss beach, ca",1
"moss landing, ca",1
"mound city, sd",1
"mount shasta, ca",1
"mount vernon, or",1
"mountain home, ar",1
"mountain home, id",1
"mountain view, ca",1
"mountain view, hi",1
"mountain village (city/community), yukon, alaska",1
"mountain village (village/city), yukon, alaska",1
"mulchatna river, alaska",1
"mule meadows, southeast, alaska",1
"mulino, or",1
"munger, mi",1
"munising, mi",1
"murdock, ks",1
"murphy, or",1
"murrieta, ca",1
"myrtle creek, or",1
"naambia niign daacheeg, common name nabesna, yukon, alaska",1
"naambia niign, common name nabesna river, yukon, alaska",1
"nabesna river, yukon, alaska",1
"nabesna road, yukon, alaska",1
"naches, wa",1
"nadina river, canada",1
"nadina river, fraser early summer, bc",1
"nageethluk river, yukon, alaska",1
"nags head, nc",1
"nahcotta, wa",1
"nahlin river, southeast, alaska",1
"nakina river, southeast, alaska",1
"naknek (city/community), bristol bay, alaska",1
"naknek native village, naknek, bristol bay, alaska",1
"naknek river, bristol bay south, ak",1
"naknek river, bristol bay south, alaska",1
"nakniq, common name naknek, bristol bay, alaska",1
"nakwasina river, southeast, alaska",1
"nantucket, ma",1
"nanvarpak, nila vena, common name iliamna lake, bristol bay, alaska",1
"nanwalek (city/community), cook inlet, alaska",1
"nanwalek, ak",1
"nanwalek, common name english bay, prince william sound, alaska",1
"nanwarnaq, common name chignik lagoon, chignik, alaska",1
"naomoff river, prince william sound, alaska",1
"napaimute (village/city), kuskokwim, alaska",1
"napakiak (city/community), kuskokwim, alaska",1
"napakiak (village/city), kuskokwim, alaska",1
"naparyaarmiut, common name hooper bay, yukon, alaska",1
"naparyarraq, common name napakiak, kuskokwim, alaska",1
"napaskiak (city/community), kuskokwim, alaska",1
"napaskiak (village/city), kuskokwim, alaska",1
"napaskiaq, common name napaskiak, kuskokwim, alaska",1
"napavine, wa",1
"naqsraq, anaqtuuvak, common name anaktuvuk pass, yukon, alaska",1
"nash harbor creek, kuskokwim, alaska",1
"nasirvik, common name whtie mountain, norton sound, alaska",1
"nataga creek, southeast, alaska",1
"nation river, yukon, alaska",1
"native village of afognak (formerly the village of afognak), afognak, kodiak, alaska",1
"native village of akhiok, akhiok, kodiak, alaska",1
